\fixlen = T
|set|TIME        |LC_INIT       |
|int|double      |double        |
 0   131.5130456  5.0889372e-05  
 0   131.5334800  9.8535304e-05  
 0   131.5539143  -1.6952012e-04 
 0   131.5743486  8.5370775e-05  
 0   131.5947829  2.4568124e-04  
 0   131.6152173  -3.4591247e-04 
 0   131.6356515  -5.4199835e-03 
 0   131.6560859  -8.7402593e-03 
 0   131.6765203  -9.1804871e-03 
 0   131.6969546  -9.3692504e-03 
 0   131.7173889  -9.0293782e-03 
 0   131.7378232  -5.2745393e-03 
 0   131.7582576  -1.4852204e-04 
 0   131.7786918  -6.1345265e-05 
 0   131.7991262  8.7791756e-05  
 0   131.8195606  -1.0042208e-04 
 0   131.8399948  -1.2912707e-05 
 0   131.8604291  1.5309934e-05  
 0   131.8808635  1.1642954e-04  
 0   131.9012978  -4.6625119e-06 
 0   131.9421664  8.1753773e-05  
 0   131.9626008  3.8243594e-05  
 0   131.9830351  3.1066820e-04  
 0   132.0034694  1.4522999e-04  
 0   132.0239036  -1.4048490e-04 
 0   132.0443381  1.9280352e-04  
 0   132.0647724  -1.9709127e-04 
 0   132.0852066  3.6759698e-04  
 0   132.1056409  3.9190647e-05  
 0   132.1260754  -2.4483138e-04 
 0   132.1465096  8.2015998e-05  
 0   132.1669439  4.4542678e-05  
 0   132.1873783  -4.4661472e-05 
 0   132.2078127  -2.1320085e-04 
 0   132.2282469  -4.9267948e-04 
 0   132.2486812  -3.3141029e-04 
 0   132.2691156  1.8010417e-04  
 0   132.2895499  -1.9502026e-04 
 0   132.3099842  1.7688720e-04  
 0   132.3304186  1.2734174e-04  
 0   132.3508528  9.0733491e-05  
 0   132.3712871  -7.3538147e-05 
 0   132.3917215  -3.5481025e-05 
 0   132.4121558  2.4270179e-04  
 0   132.4325901  -1.3487785e-04 
 0   132.4530244  -6.4055200e-07 
 0   132.4734589  -2.1217478e-04 
 0   132.4938931  -2.2945273e-06 
 0   132.5143274  -3.1691128e-05 
 0   132.5347616  1.9072602e-04  
 0   132.5551960  6.5964829e-05  
 0   132.5756304  2.2891384e-04  
 0   132.5960646  1.1848057e-04  
 0   132.6164990  2.4735567e-04  
 0   132.6369333  -2.5464827e-04 
 0   132.6573676  -5.7953410e-05 
 0   132.6778019  2.2354897e-04  
 0   132.6982363  -6.8731693e-05 
 0   132.7186706  1.3198685e-04  
 0   132.7391048  2.0151361e-04  
 0   132.7595392  -2.5084600e-04 
 0   132.7799736  3.8668179e-04  
 0   132.8004078  3.0329244e-05  
 0   132.8208421  1.0974692e-05  
 0   132.8412765  3.0922234e-05  
 0   132.8617107  -2.6272171e-06 
 0   132.8821451  -2.6107149e-04 
 0   132.9025795  -5.9221864e-05 
 0   132.9230137  -6.4068292e-05 
 0   132.9434480  -2.0741226e-04 
 0   132.9638823  5.0743006e-04  
 0   132.9843167  -1.3490663e-04 
 0   133.0047510  -8.2955165e-05 
 0   133.0251853  2.4619076e-04  
 0   133.0456196  -1.4775340e-04 
 0   133.0660539  2.3591783e-05  
 0   133.0864882  -3.0775712e-04 
 0   133.1069225  3.0617675e-04  
 0   133.1273569  -4.6772420e-06 
 0   133.1477912  -2.3083530e-04 
 0   133.1682255  6.8495421e-05  
