\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   131.5125316  -8.1421204e-05 
 0   131.5329661  -1.2874234e-05 
 0   131.5534005  4.8324463e-04  
 0   131.5738348  9.3446950e-05  
 0   131.5942692  -2.3357781e-04 
 0   131.6147037  2.5185269e-05  
 0   131.6351380  1.5127198e-05  
 0   131.6555724  2.4645095e-04  
 0   131.6760069  4.8763203e-04  
 0   131.6964413  -3.4321775e-04 
 0   131.7168756  1.8293793e-04  
 0   131.7373100  3.2814904e-04  
 0   131.7577445  -7.3381525e-05 
 0   131.7781788  -1.0420773e-05 
 0   131.7986132  -1.9243076e-04 
 0   131.8190477  -2.0042468e-04 
 0   131.8394820  1.0005516e-04  
 0   131.8599164  -1.0140287e-04 
 0   131.8803508  -6.1812425e-05 
 0   131.9007852  3.6997619e-04  
 0   131.9212196  -1.5456627e-04 
 0   131.9416540  -2.8430196e-04 
 0   131.9620883  -1.2853321e-04 
 0   131.9825227  2.3798978e-04  
 0   132.0029571  -1.8407754e-04 
 0   132.0233914  2.1398593e-04  
 0   132.0438259  -2.6348155e-04 
 0   132.0642603  5.0810393e-04  
 0   132.0846946  -3.5771009e-05 
 0   132.1051290  2.2220046e-04  
 0   132.1255635  -3.4955832e-05 
 0   132.1459978  -2.2024239e-04 
 0   132.1664322  -8.2803354e-06 
 0   132.1868667  1.6353579e-05  
 0   132.2073011  -3.1607502e-04 
 0   132.2277354  -1.7552373e-04 
 0   132.2481698  1.6281895e-04  
 0   132.2686043  6.7528519e-05  
 0   132.2890386  2.1013217e-04  
 0   132.3094730  -2.1371688e-04 
 0   132.3299075  5.3749234e-05  
 0   132.3503418  -4.1459425e-05 
 0   132.3707761  -1.3226963e-04 
 0   132.3912105  1.7022675e-04  
 0   132.4116449  -5.8080761e-05 
 0   132.4320793  3.7571022e-05  
 0   132.4525137  1.6960836e-04  
 0   132.4729482  1.7464996e-06  
 0   132.4933825  4.4977278e-05  
 0   132.5138169  -1.9744375e-05 
 0   132.5342512  -5.2361422e-05 
 0   132.5546857  2.2754015e-05  
 0   132.5751201  7.6162860e-06  
