x y
9.424611197207696023e+00 -7.995952569546388444e-01
3.269518823215323167e+00 -1.386733282992371752e-01
6.286009925928049746e+00 1.961781759921617407e+00
3.637117512492305416e+00 -1.599166136895511237e-01
5.186500046313801349e+00 8.553711625083511016e-01
1.016104768299771166e+01 -6.998265296005184988e-01
1.114700305196819485e+01 4.757651636817997742e-01
1.095456521383893822e+01 1.711748408622761064e-02
2.280306570950717315e+00 -5.464999135788495277e-01
2.660875134365336514e+00 -1.599233024350765753e-02
1.018562416607002064e+01 -3.156811029968698001e-02
9.131205386505989452e+00 -4.304228086902287531e-01
4.160222846215329007e+00 -3.983239487298934067e-01
5.940176386838561307e+00 1.649838295101615948e+00
1.247421873312908680e+01 1.775074149225009057e+00
1.142485159184154142e+01 8.968073325972393262e-01
6.864937225053113323e+00 1.356768313822119598e+00
6.007863453802690934e+00 1.145318937244929947e+00
7.766607838240726647e-01 1.648546128066486149e+00
6.953251974519553791e+00 1.239035577878634609e+00
2.610814821487952297e+00 -2.369880103441660557e-01
7.449366508560484768e+00 9.054345247817559006e-01
3.088377916308560955e+00 -6.637712144264870107e-01
1.249601611256148814e+01 1.525604573366747818e+00
1.173692348394513907e+01 7.785540381266500276e-01
4.423510062632652229e+00 6.062930072367470613e-01
8.553218482707810821e+00 -4.834234970047932567e-01
1.138014901573985682e+01 1.298270232951506120e+00
2.893090323117001095e+00 -7.705920792843193867e-01
8.775102794373905724e+00 -2.942482936351002998e-01
3.982356935676547582e+00 -6.635249649070597000e-01
8.827955359183340178e+00 -6.345758459594308398e-01
7.062614849379929005e+00 1.654076743185262099e+00
6.540834233711176893e+00 1.419940421911749961e+00
3.934605336629156902e+00 -2.176696887533803304e-01
6.068830142939809491e+00 1.323814386909940133e+00
1.717594689011994635e+00 -4.828498524955607274e-02
1.173274019853588257e+01 8.489282917122292771e-01
7.133487637542582860e+00 8.242500180213627736e-01
2.378386301229384880e+00 1.431717525478226616e-01
1.129398576916782027e+00 1.158930344703453574e+00
9.339254732764169786e-02 1.658411621823985271e+00
4.559644604107097043e-01 1.632958603723439150e+00
3.821073337394512937e+00 4.773800702412900332e-02
8.995310754444213686e+00 -8.045173569418129222e-01
6.367713810895822668e+00 1.378222471426375773e+00
1.248282696008215531e+01 1.327516190299698362e+00
1.249498404114613592e+01 1.441750286042131846e+00
1.189259233885305811e+01 1.688481015509426975e+00
1.008061523502533063e+01 1.647389203819749071e-02
6.017844361988744062e+00 1.575670994896686272e+00
1.676748538326449101e+00 6.548808316046694777e-01
7.110694735306142711e+00 7.213842804003183229e-01
3.794291255838753596e+00 1.854037286016035901e-01
8.582330158230073280e+00 -3.737951169823731101e-01
6.832616256694315382e+00 1.224746106578515015e+00
4.209109124913263500e+00 4.676683149528392258e-01
9.087960135490334324e+00 -4.297617264178800189e-01
3.984076943705503471e+00 2.871810412344940611e-01
6.795294419390118357e+00 1.108590687795389496e+00
7.080178573326108449e+00 1.478521822297532484e+00
8.382885749941579867e-01 7.118223779731872591e-01
5.579136817425667694e+00 1.157860816909705548e+00
8.335794833044385399e+00 2.385061084252276808e-02
1.161054121013857987e+01 1.226525967714135135e+00
1.246374175362097070e+01 1.495923408832384283e+00
1.191328202015060356e+01 1.199276540178154438e+00
7.665113632710006897e+00 9.127016372179483916e-01
1.036533542210958503e+00 1.328578074136739673e+00
7.837278553094755296e+00 3.934766824698134324e-01
1.238659737619057211e+01 1.030664586944968208e+00
2.588184300767701007e+00 -4.699794769756876489e-01
8.246264078524374597e+00 5.974752958543195769e-01
1.236594476196959391e+01 1.482274728626245430e+00
8.955163457498009905e+00 -5.919696937391348834e-01
1.112881418262457878e+01 4.221050179324501439e-01
1.190017724507328545e+01 1.207361058291358091e+00
1.197175781592278554e+01 1.660906374050765244e+00
1.789717301116031889e+00 2.148048253015955589e-01
6.193826830475777534e+00 1.439167898329665629e+00
3.946419158942270133e+00 1.572839189053761855e-01
5.909345650425155583e+00 1.909065971478513202e+00
8.062317898298987373e+00 7.886839594354462246e-01
6.280382734721301929e+00 1.811639235040595652e+00
1.384243264369504178e+00 7.264454942043168106e-01
4.400319605380241583e+00 2.797302768381584870e-01
1.526363873166731722e+00 2.861414123449107505e-01
1.067686696061728746e+01 3.501099401124196375e-01
4.460892473854660700e+00 3.025047629008902339e-01
8.819636755521315763e+00 -7.306340488723255255e-01
9.211188295665021286e+00 -9.123386564501145823e-02
1.153161827085466273e-01 1.409331428663618713e+00
3.845834723989558057e+00 -5.977153269755385301e-01
1.231122776528873475e+00 4.940267953272184931e-01
1.215761205708822601e+01 1.758328206573191110e+00
1.251587756805691498e+01 1.109588524773891027e+00
4.239389748389339019e+00 4.168281070144608247e-02
9.784709127580986987e+00 -7.582950996927896314e-01
2.155477258284603792e+00 1.336881810645285107e-03
