Light curve for WASP-18
Garbage, time, Flux
Generated by R.P. Nelson 
0.000000000000000000e+00 1.354112919118892478e+03 1.000374555587768555e+00
1.000000000000000000e+00 1.354114308049583542e+03 9.993928074836730957e-01
2.000000000000000000e+00 1.354117085910731021e+03 9.994636774063110352e-01
3.000000000000000000e+00 1.354118474841189254e+03 1.000322937965393066e+00
4.000000000000000000e+00 1.354119863771879864e+03 9.994005560874938965e-01
5.000000000000000000e+00 1.354121252702337415e+03 9.997281432151794434e-01
6.000000000000000000e+00 1.354122641632794966e+03 1.000235319137573242e+00
7.000000000000000000e+00 1.354124030563486031e+03 9.993798732757568359e-01
8.000000000000000000e+00 1.354125419493944491e+03 1.000198721885681152e+00
9.000000000000000000e+00 1.354126808424402043e+03 9.997004270553588867e-01
1.000000000000000000e+01 1.354128197355092652e+03 1.000348329544067383e+00
1.100000000000000000e+01 1.354129586285549976e+03 9.997336268424987793e-01
1.200000000000000000e+01 1.354130975216007755e+03 1.000223040580749512e+00
1.300000000000000000e+01 1.354132364146698819e+03 9.995975494384765625e-01
1.400000000000000000e+01 1.354133753077156598e+03 1.000539898872375488e+00
1.500000000000000000e+01 1.354135142007613922e+03 1.000526070594787598e+00
1.600000000000000000e+01 1.354136530938072383e+03 1.000674843788146973e+00
1.700000000000000000e+01 1.354137919868762765e+03 1.000390768051147461e+00
1.800000000000000000e+01 1.354139308799220998e+03 9.996817111968994141e-01
1.900000000000000000e+01 1.354140697729678777e+03 9.993160963058471680e-01
2.000000000000000000e+01 1.354142086660135647e+03 1.000411391258239746e+00
2.100000000000000000e+01 1.354143475590593880e+03 1.000253438949584961e+00
2.200000000000000000e+01 1.354144864521284944e+03 1.000051617622375488e+00
2.300000000000000000e+01 1.354146253451742723e+03 1.000113844871520996e+00
2.400000000000000000e+01 1.354147642382200274e+03 1.000038504600524902e+00
2.500000000000000000e+01 1.354149031312657826e+03 1.000199437141418457e+00
2.600000000000000000e+01 1.354150420243116059e+03 1.000755310058593750e+00
2.700000000000000000e+01 1.354151809173574520e+03 9.996500611305236816e-01
2.800000000000000000e+01 1.354153198104031617e+03 1.000102996826171875e+00
2.900000000000000000e+01 1.354154587034488941e+03 9.997148513793945312e-01
3.000000000000000000e+01 1.354155975964947174e+03 9.994026422500610352e-01
3.100000000000000000e+01 1.354157364895405635e+03 1.000020146369934082e+00
3.200000000000000000e+01 1.354158753825863187e+03 1.000804543495178223e+00
3.300000000000000000e+01 1.354160142756320056e+03 1.000229716300964355e+00
3.400000000000000000e+01 1.354161531686778289e+03 1.000881195068359375e+00
3.500000000000000000e+01 1.354162920617236750e+03 1.000186562538146973e+00
3.600000000000000000e+01 1.354164309547694302e+03 1.000816822052001953e+00
3.700000000000000000e+01 1.354165698478152080e+03 9.995045661926269531e-01
3.800000000000000000e+01 1.354167087408609405e+03 9.992569684982299805e-01
3.900000000000000000e+01 1.354168476339067865e+03 9.996861815452575684e-01
4.000000000000000000e+01 1.354169865269526326e+03 1.000525116920471191e+00
4.100000000000000000e+01 1.354171254199983196e+03 1.001099944114685059e+00
4.200000000000000000e+01 1.354172643130440747e+03 1.000085949897766113e+00
4.300000000000000000e+01 1.354174032060666377e+03 9.997842311859130859e-01
4.400000000000000000e+01 1.354175420991123701e+03 9.998971223831176758e-01
4.500000000000000000e+01 1.354176809921581935e+03 9.998940229415893555e-01
4.600000000000000000e+01 1.354178198852039714e+03 9.998673200607299805e-01
4.700000000000000000e+01 1.354179587782497492e+03 1.000199437141418457e+00
4.800000000000000000e+01 1.354180976712722895e+03 1.001225233078002930e+00
4.900000000000000000e+01 1.354182365643180219e+03 1.000400543212890625e+00
5.000000000000000000e+01 1.354183754573638680e+03 1.000388383865356445e+00
5.100000000000000000e+01 1.354185143503863401e+03 1.000904917716979980e+00
5.200000000000000000e+01 1.354186532434320270e+03 1.000609040260314941e+00
5.300000000000000000e+01 1.354187921364778731e+03 1.001077055931091309e+00
5.400000000000000000e+01 1.354189310295237192e+03 1.000934243202209473e+00
5.500000000000000000e+01 1.354190699225461685e+03 1.000164270401000977e+00
5.600000000000000000e+01 1.354192088155919464e+03 1.000048398971557617e+00
5.700000000000000000e+01 1.354193477086144185e+03 1.001164555549621582e+00
5.800000000000000000e+01 1.354194866016602646e+03 1.000113010406494141e+00
5.900000000000000000e+01 1.354196254947060879e+03 9.994384646415710449e-01
6.000000000000000000e+01 1.354197643877284918e+03 1.000057935714721680e+00
6.100000000000000000e+01 1.354199032807742469e+03 1.000184416770935059e+00
6.200000000000000000e+01 1.354200421737968099e+03 1.000486612319946289e+00
6.300000000000000000e+01 1.354201810668426333e+03 9.995841979980468750e-01
6.400000000000000000e+01 1.354203199598650826e+03 9.998737573623657227e-01
6.500000000000000000e+01 1.354204588529107923e+03 1.000849246978759766e+00
6.600000000000000000e+01 1.354205977459333553e+03 9.999294877052307129e-01
6.700000000000000000e+01 1.354207366389791787e+03 9.999761581420898438e-01
6.800000000000000000e+01 1.354208755320016280e+03 9.999146461486816406e-01
