Data for HD 219666
Garbage, time, flux
Generated by R.P. Nelson
0.000000000000000000e+00 1.325299533185313066e+03 1.000391244888305664e+00
1.000000000000000000e+00 1.325300922101638207e+03 9.992339611053466797e-01
2.000000000000000000e+00 1.325302311018195269e+03 9.995176792144775391e-01
3.000000000000000000e+00 1.325303699934520864e+03 9.992424845695495605e-01
4.000000000000000000e+00 1.325305088850846005e+03 1.000220060348510742e+00
5.000000000000000000e+00 1.325306477767170236e+03 9.990754127502441406e-01
6.000000000000000000e+00 1.325307866683495831e+03 9.995243549346923828e-01
7.000000000000000000e+00 1.325309255599820972e+03 9.981737136840820312e-01
8.000000000000000000e+00 1.325310644516145658e+03 9.994162321090698242e-01
9.000000000000000000e+00 1.325312033432704084e+03 1.000204563140869141e+00
1.000000000000000000e+01 1.325313422349028542e+03 1.001114606857299805e+00
1.100000000000000000e+01 1.325314811265353455e+03 9.991081357002258301e-01
1.200000000000000000e+01 1.325316200181679051e+03 9.998789429664611816e-01
1.300000000000000000e+01 1.325317589098004191e+03 9.990608692169189453e-01
1.400000000000000000e+01 1.325318978014328877e+03 9.999678134918212891e-01
1.500000000000000000e+01 1.325320366930654018e+03 1.000031590461730957e+00
1.600000000000000000e+01 1.325321755846979613e+03 9.999831318855285645e-01
1.700000000000000000e+01 1.325323144763304754e+03 9.992828369140625000e-01
1.800000000000000000e+01 1.325324533679628985e+03 1.000344038009643555e+00
1.900000000000000000e+01 1.325325922595954580e+03 1.000109314918518066e+00
2.000000000000000000e+01 1.325327311512279721e+03 1.000001668930053711e+00
2.100000000000000000e+01 1.325328700428603952e+03 9.999851584434509277e-01
2.200000000000000000e+01 1.325330089344696717e+03 1.000010848045349121e+00
2.300000000000000000e+01 1.325331478261021402e+03 1.000164628028869629e+00
2.400000000000000000e+01 1.325332867177345861e+03 9.999190568923950195e-01
2.500000000000000000e+01 1.325334256093671684e+03 9.998860955238342285e-01
2.600000000000000000e+01 1.325335645009997279e+03 1.001293063163757324e+00
2.700000000000000000e+01 1.325337033926321965e+03 9.998194575309753418e-01
2.800000000000000000e+01 1.325338422842647105e+03 9.992333054542541504e-01
2.900000000000000000e+01 1.325339811758972246e+03 9.994561672210693359e-01
3.000000000000000000e+01 1.325341200675064101e+03 9.997677206993103027e-01
3.100000000000000000e+01 1.325342589591389242e+03 9.993646740913391113e-01
3.200000000000000000e+01 1.325343978507713928e+03 9.997064471244812012e-01
3.300000000000000000e+01 1.325345367424039068e+03 9.996148347854614258e-01
3.400000000000000000e+01 1.325346756340364209e+03 1.000411629676818848e+00
3.500000000000000000e+01 1.325348145256456974e+03 9.993499517440795898e-01
3.600000000000000000e+01 1.325349534172782569e+03 1.000195384025573730e+00
3.700000000000000000e+01 1.325350923089106800e+03 1.000356078147888184e+00
3.800000000000000000e+01 1.325352312005199110e+03 1.000206232070922852e+00
3.900000000000000000e+01 1.325353700921524705e+03 1.001014113426208496e+00
4.000000000000000000e+01 1.325355089837848936e+03 1.000551104545593262e+00
4.100000000000000000e+01 1.325356478754173622e+03 1.001505494117736816e+00
4.200000000000000000e+01 1.325357867670266614e+03 1.000973463058471680e+00
4.300000000000000000e+01 1.325359256586591528e+03 9.998962879180908203e-01
4.400000000000000000e+01 1.325360645502916668e+03 1.000311374664306641e+00
4.500000000000000000e+01 1.325362034419008523e+03 1.000493884086608887e+00
