x,y
1.118299470751091995e+01,-7.049099677416003074e-01
6.442835070900690297e+00,6.095463864845581670e-01
1.119624881557145812e+01,-7.772749605331411571e-01
1.635768327952477064e-01,8.074218938053165928e-01
4.858490506096177164e+00,-5.503401531992062612e-01
8.952227952190610072e-01,8.978428621099137086e-01
1.102415840217790688e+01,-6.651575677729915093e-02
1.246874082080204715e+01,2.043415170445995743e-01
1.007876278628780398e+01,-5.800199733912304589e-01
1.145583673729359653e+01,-3.612231616625413144e-01
5.285308484198378842e+00,-1.290251358983023344e-01
4.560727288596273965e+00,-3.707801456328452261e-01
4.663227718952327905e+00,-8.640412901552787517e-01
3.787396560915736732e+00,3.042675603833692177e-01
1.121828217505846403e+01,2.270255033187229543e-02
7.624090785947334581e+00,1.291294382049398504e+00
6.532083612487851632e+00,1.234330951756048789e+00
6.788849250830873316e+00,5.011946998363718819e-01
6.125501887889489794e+00,4.084084793095701382e-01
3.098114229762610972e+00,2.534360576911496854e-01
1.752469658919597606e+00,1.390675715784216893e+00
5.904668009779512339e-01,1.516776378961880223e+00
8.683238622819311914e+00,8.179584994940244380e-01
8.150772173051924696e+00,1.020007574272899342e+00
2.529818496745831702e+00,1.047624620771644199e+00
1.509782127365324689e+00,1.474278384775400408e+00
8.638231969956745360e+00,1.443801630892082244e+00
4.785130678102799351e+00,-1.055216744099499726e-01
1.180112496801174515e+01,2.513387222301836088e-01
9.481511901122189556e+00,3.612337855673783404e-01
8.987838959270725070e+00,9.813293045894755373e-01
1.139869609912627268e+01,-6.577455652746405645e-01
3.384938610371012402e+00,-1.861055556699628966e-01
6.168366130062747033e+00,2.562707517197608809e-01
4.298680995816813066e+00,3.527745093475698202e-02
8.303122062888780519e+00,1.063246564629650948e+00
5.242363218583012241e+00,-2.688373028947139698e-01
4.513616951671933997e+00,-5.709533499501614484e-01
2.366629135657855265e+00,1.318126220405657856e+00
9.412225492310424713e+00,3.693488276944950632e-01
5.089796996916269300e+00,9.270576280578923800e-04
3.394645497796550337e+00,-1.968580923072985600e-01
7.635294181669022073e+00,1.236956570281891432e+00
6.981575438658365940e+00,1.578168142369757554e+00
2.936498561686852860e+00,7.789119554524605027e-01
7.098379012814304723e+00,1.394530798143030159e+00
4.846073950525519258e+00,-8.067276000269449909e-01
8.174216438912020877e+00,1.545732060941525710e+00
4.810915501391848537e+00,-4.022625516696721748e-01
5.436251354075891662e+00,-6.085333213890413706e-01
4.765982060988527280e+00,-7.881507830639941092e-01
9.328963085299909253e+00,9.694830466703359129e-01
1.015997028018152903e+01,1.792034599032366060e-01
6.807947310761246484e+00,1.383860645747780449e+00
1.068816802799424437e+01,-8.812959430263465066e-01
1.096119460503078891e+01,-4.856190044992091392e-01
1.610223489599816427e+00,1.730546002066964295e+00
1.678904028556149342e-01,1.041063828303817163e+00
1.220686934830469461e+01,6.402406921103316328e-01
3.038344302611971415e+00,9.416722680264966172e-01
1.311501773875779930e+00,1.764901442649223107e+00
6.764350985862922272e+00,1.006517731254266135e+00
1.081374781308811528e+01,-8.372684144841089360e-01
9.353940843002021666e+00,2.977547152623952753e-01
5.413622371202612804e+00,-6.557964014947386122e-01
9.844448032736739407e+00,-2.668339856188248760e-01
1.662366591660858983e+00,1.129562928018196466e+00
1.031430272192230468e+01,-5.493760376286538349e-02
1.047147031584647792e+01,-2.993700090650585066e-01
1.019221814616296484e+01,7.284883480538950629e-02
2.618942538628312722e+00,5.412038472464675287e-01
8.158280757287386109e+00,1.921209493058475104e+00
1.077742048082528470e+01,-6.176736965198610374e-01
